location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,40795,40764,40759,40731,40697,40709,40645,40644,40644,40662,40644,40622
수도권,59587,59573,59600,59586,59534,59556,59074,59065,59082,59108,59086,59071
지방권,23719,23673,23639,23598,23582,23585,23786,23792,23776,23787,23773,23745
6대광역시,29300,29252,29224,29204,29206,29226,29775,29799,29785,29799,29752,29701
5대광역시,31623,31561,31520,31493,31498,31524,32116,32141,32122,32134,32068,32013
9개도,28449,28414,28391,28354,28332,28335,28475,28479,28479,28496,28503,28483
8개도,18693,18658,18627,18576,18545,18533,18559,18553,18538,18549,18568,18558
서울특별시,98547,98558,98643,98631,98505,98533,98153,98095,98117,98146,98091,98108
경기도,41076,41040,41028,41008,40999,41022,41067,41085,41102,41127,41120,41087
인천광역시,21433,21432,21450,21454,21442,21440,21936,21958,21957,21978,21996,21958
부산광역시,38023,37969,37897,37844,37839,37877,38747,38755,38753,38732,38663,38641
대구광역시,18030,18040,18057,18039,18039,18036,18404,18411,18411,18442,18483,18513
광주광역시,36911,36790,36766,36721,36717,36713,37130,37134,37121,37134,36740,36587
대전광역시,32117,32084,32074,32072,32072,32071,33023,33018,33017,33016,33049,32774
울산광역시,31894,31698,31575,31605,31671,31794,31502,31677,31543,31630,31651,31710
세종특별자치시,15161,15157,15157,15158,15158,15158,15692,15692,15691,15691,15691,15691
강원도,15024,15023,15003,14927,14915,14902,14945,14931,14954,14953,14974,14975
충청북도,15716,15727,15714,15677,15614,15617,15568,15554,15492,15567,15543,15478
충청남도,14609,14540,14468,14410,14362,14315,14322,14310,14300,14285,14269,14345
전라북도,26802,26786,26786,26777,26757,26764,26972,26970,26969,26945,26938,26924
전라남도,14786,14771,14771,14776,14779,14779,14818,14829,14828,14836,14841,14845
경상북도,10770,10770,10772,10767,10751,10751,10875,10895,10885,10889,10918,10892
경상남도,29995,29893,29813,29679,29627,29606,29600,29569,29539,29575,29657,29619
제주특별자치도,9641,9632,9626,9617,9605,9596,9574,9596,9592,9563,9552,9543